District,Name,White ,Black / African American,Hispanic / Latino,Asian,Other,Racial Diversity Index,Seniors - 65 and Older,Families with Own Children Under 18,Median Household Income,Below FPL,Rental Vacancy Rate,Rent Burdened,Owner Occupied Housing,NYCHA Units ,Section 8 Units,Rent Stabilized Units,Code Violations 2020,Code Violations 2022,2022 Violations per 100 units,Percent Renters,Percent Overcrowded,1-4Fam,5-19Unit,20+Unit,Population / Acre,New Construction,Preservation,Total Financed Calc,Total Financed,,CD,New Construction - Extremely Low Income,New Construction - Very Low Income,New Construction - Low Income,New Construction - Moderate Income,New Construction - Middle Income,New Construction - Other,Total New Construction,Affordable New Construction Rank,New Construction 2014-2021,New Construction 2022,Preservation - Extremely Low Income,Preservation - Very Low Income,Preservation- Low Income,Preservation - Moderate Income,Preservation- Middle Income,Preservation - Other,Total Preservation,Extremely Low Income Total,Very Low Income Total,Low Income Total,Moderate Income Total,Middle Income Total,Other Total ,Affordable Total,Housing Units 2021,New Units 2022,Housing Units 2022,Increase,,NYCHA Capital Needs,Expiring Affordable Units,,,,
District 11,Eric Dinowitz,29,17,45,6,3,0.68,17.7%,26.0%,"$62,637",18.2%,3.4%,54.3%,28.3%, 151 ,"4,008"," 37,000 ","9,930","17,863",26.0,71.7%,4.8%,20.6%,6.4%,72.6%,33.8,"1,494","1,988","3,482","3,482",,11,704,221,697,85,298,12,2017,16,"1,682",335,100,309,1285,54,354,12,2114,804,530,1982,139,652,24,4131,"68,326",325,"68,651",0.47%,,0,"1,212",,,,
District 12,Kevin Riley,3,65,27,2,3,0.51,17.0%,25.6%,"$58,170",16.7%,1.7%,54.4%,41.0%," 4,178 ","3,354"," 14,000 ","8,292","16,304",24.4,59.0%,3.6%,48.9%,8.5%,42.4%,60.2,322,"16,183","16,505","16,505",,12,93,22,170,40,181,2,508,32,363,145,10,11752,4424,124,20,3,16333,103,11774,4594,164,201,5,16841,"66,656",87,"66,743",0.13%,,"$1,104,738,689 ",311,,,,
District 13,Marjorie Velazquez,32,14,45,7,2,0.67,17.4%,27.1%,"$68,559",14.7%,2.5%,52.9%,40.3%," 4,747 ","2,187"," 13,000 ","4,518","11,473",17.9,59.7%,3.4%,62.7%,7.5%,29.6%,22.1,58,374,432,432,,13,0,4,38,6,47,0,95,47,71,24,77,85,201,15,2,2,382,77,89,239,21,49,2,477,"63,983",25,"64,008",0.04%,,"$1,009,651,603 ",477,,,,
District 14,Pierina Ana Sanchez,2,19,75,2,2,0.4,9.7%,35.4%,"$36,025",33.0%,1.6%,61.0%,5.9%," 1,588 ","8,340"," 39,000 ","20,913","32,523",55.1,94.1%,6.6%,10.4%,8.1%,81.1%,140.3,"1,986","4,194","6,180","6,180",,14,1028,405,960,179,150,18,2740,10,"2,060",680,410,1794,2278,105,17,57,4661,1438,2199,3238,284,167,75,7401,"58,670",314,"58,984",0.53%,,"$320,461,824 ","4,519",,,,
District 15,Oswald Feliz,6,24,66,2,1,0.5,10.4%,34.5%,"$35,234",34.0%,2.0%,59.1%,8.0%," 1,551 ","9,980"," 33,000 ","23,723","39,230",60.5,92.0%,6.2%,17.3%,11.9%,70.5%,76.5,"2,805","3,443","6,248","6,248",,15,1184,222,1323,212,512,21,3474,5,"3,244",230,690,782,2145,343,322,29,4311,1874,1004,3468,555,834,50,7785,"64,409",419,"64,828",0.65%,,"$355,591,510 ","1,529",,,,
District 16,Althea Stevens,1,33,63,1,2,0.5,8.8%,35.7%,"$32,201",37.3%,1.8%,57.4%,4.3%," 9,224 ","7,074"," 38,000 ","18,450","32,630",52.8,95.7%,7.0%,10.5%,10.7%,78.6%,118.1,"2,146","6,198","8,344","8,344",,16,1242,324,798,48,207,17,2636,11,"2,525",111,1059,2046,3240,153,0,55,6553,2301,2370,4038,201,207,72,9189,"61,637",174,"61,811",0.28%,,"$2,104,645,927 ","5,039",,,,
District 17,Rafael Salamanca ,2,30,66,1,1,0.47,10.7%,32.0%,"$31,615",36.4%,1.6%,55.7%,10.0%," 5,913 ","8,258"," 23,000 ","18,493","34,429",51.0,90.0%,3.5%,19.3%,14.7%,65.9%,54.2,"8,471","6,871","15,342","15,342",,17,2758,1104,4182,540,381,54,9019,1,"8,494",525,1034,2973,4091,191,116,84,8489,3792,4077,8273,731,497,138,17508,"66,614",898,"67,512",1.33%,,"$1,503,688,765 ","1,808",,,,
District 18,Amanda Farías,3,27,58,9,3,0.58,12.7%,31.7%,"$45,332",27.1%,1.8%,54.6%,21.9%," 8,367 ","5,302"," 19,000 ","10,600","18,845",29.2,78.1%,4.7%,37.0%,6.1%,56.4%,68.8,"1,340","2,578","3,918","3,918",,18,724,156,489,111,39,7,1526,20,"1,353",173,563,1536,465,34,4,12,2614,1287,1692,954,145,43,19,4140,"64,461",3,"64,464",0.00%,,"$2,167,507,214 ",603,,,,
District 19,Vickie Paladino,44,1,18,35,2,0.65,21.8%,25.2%,"$85,580",7.4%,4.8%,57.0%,65.2%, 13 ,0," 10,000 ",631,"2,058",3.2,34.8%,1.4%,78.4%,4.8%,16.4%,21.2,45,3,48,48,,19,0,0,39,0,9,0,48,50,47,1,0,2,0,1,2,0,5,0,2,39,1,11,0,53,"63,620",48,"63,668",0.08%,,"$6,455,718 ",214,,,,
District 20,Sandra Ung,11,3,16,69,2,0.49,19.1%,23.2%,"$47,776",19.9%,3.5%,67.7%,35.3%, 904 ,235," 11,000 ","2,537","6,229",9.8,64.7%,5.1%,38.9%,8.4%,52.4%,47.4,279,56,335,335,,20,0,66,122,62,37,1,288,36,279,9,0,2,2,51,0,1,56,0,68,124,113,37,2,344,"63,203",231,"63,434",0.36%,,"$235,464,903 ",485,,,,
District 21,Francisco Moya,4,9,74,12,1,0.43,10.1%,37.4%,"$58,957",18.6%,1.4%,59.2%,24.3%, -   ,822," 17,000 ","3,150","8,281",17.1,75.7%,11.2%,59.9%,11.4%,28.5%,65.2,102,448,550,550,,21,96,1,18,3,132,1,251,39,160,91,211,362,73,6,0,4,656,307,363,91,9,132,5,907,"48,361",48,"48,409",0.10%,,0,259,,,,
District 22,Tiffany Cabán,52,6,26,14,2,0.64,13.9%,16.7%,"$81,511",11.2%,2.0%,43.5%,24.8%," 1,101 ",337," 24,000 ","3,200","8,002",11.0,75.2%,2.3%,46.3%,25.3%,28.3%,42.8,557,738,"1,295","1,295",,22,102,81,256,9,251,1,700,26,601,99,350,59,50,278,1,2,740,452,140,306,287,252,3,1440,"72,668",195,"72,863",0.27%,,"$346,164,095 ",955,,,,
District 23,Linda Lee,26,11,15,41,7,0.73,19.5%,26.0%,"$92,257",7.9%,2.8%,52.5%,68.1%, -   ,52," 4,000 ",627,"1,943",3.4,31.9%,1.3%,77.0%,8.0%,14.8%,22.5,16,5,21,21,,23,0,6,11,1,31,0,49,49,17,32,2,2,0,3,0,0,7,2,8,11,4,31,0,56,"57,909",14,"57,923",0.02%,,0,"2,348",,,,
District 24,James Gennaro,27,12,24,33,5,0.75,15.7%,28.8%,"$70,614",14.6%,2.8%,54.7%,43.3%," 2,221 ",234," 10,000 ","2,572","6,246",10.6,56.7%,4.2%,49.1%,12.1%,38.7%,33.2,931,"2,295","3,226","3,226",,24,125,40,703,64,82,3,1017,23,998,19,86,2164,259,158,9,2,2678,211,2204,962,222,91,5,3695,"58,578",266,"58,844",0.45%,,"$688,327,734 ",287,,,,
District 25,Shekar Krishnan,12,2,47,38,2,0.62,15.0%,27.0%,"$62,491",13.1%,2.5%,60.9%,34.3%, -   ,107," 21,000 ","3,014","7,205",11.9,65.7%,6.9%,39.8%,8.1%,52.1%,102.7,70,0,70,70,,25,1,1,21,1,77,0,101,46,82,19,0,0,0,0,0,0,0,1,1,21,1,77,0,101,"60,584",51,"60,635",0.08%,,0,154,,,,
District 26,Julie Won,31,5,31,29,3,0.72,13.2%,20.1%,"$71,509",12.6%,2.8%,44.2%,21.8%," 5,303 ",256," 24,000 ","3,062","8,410",9.5,78.2%,4.4%,26.0%,17.4%,56.5%,47.0,"2,658",981,"3,639","3,639",,26,170,361,499,433,1779,4,3246,6,"3,139",107,0,413,585,3,0,0,1001,170,774,1084,436,1779,4,4247,"87,769","1,243","89,012",1.40%,,"$1,698,220,052 ",683,,,,
District 27,Nantasha Williams,2,69,13,10,7,0.49,15.4%,26.8%,"$82,840",9.5%,3.6%,59.8%,64.1%, 359 ,582," 5,000 ","2,385","5,821",10.6,35.9%,2.7%,87.6%,1.6%,10.6%,32.1,"2,217",168,"2,385","2,385",,27,98,312,817,506,690,10,2433,13,"2,313",120,136,9,47,23,10,1,226,234,321,864,529,700,11,2659,"54,317",598,"54,915",1.09%,,"$79,196,727 ",0,,,,
District 28,Adrienne Adams,3,41,19,21,16,0.75,12.9%,28.9%,"$74,669",11.2%,2.0%,50.9%,53.6%," 1,425 ",711," 5,000 ","2,193","5,749",10.4,46.4%,2.0%,82.1%,3.3%,14.4%,22.2,233,"6,219","6,452","6,452",,28,166,0,63,3,6,2,240,41,237,3,179,5371,667,13,2,2,6234,345,5371,730,16,8,4,6474,"55,475",51,"55,526",0.09%,,"$429,032,452 ",215,,,,
District 29,Lynn Schulman,44,4,20,28,5,0.69,18.9%,21.7%,"$83,297",11.3%,3.0%,49.6%,44.6%, -   ,694," 21,000 ","2,374","5,359",7.2,55.4%,4.3%,25.6%,4.4%,69.8%,58.6,497,481,978,978,,29,44,90,156,221,24,1,536,31,503,33,287,123,51,21,1,0,483,331,213,207,242,25,1,1019,"73,937",491,"74,428",0.66%,,0,168,,,,
District 30,Robert Holden,52,1,35,10,2,0.59,13.3%,31.3%,"$84,498",8.9%,3.5%,49.5%,47.7%, -   ,280," 14,000 ","1,866","5,744",9.3,52.3%,1.5%,85.5%,8.7%,5.7%,28.6,106,84,190,190,,30,40,0,176,0,36,0,252,38,250,2,1,14,22,50,1,1,89,41,14,198,50,37,1,341,"61,315",165,"61,480",0.27%,,0,8,,,,
District 31,Selvena N. Brooks-Powers,12,65,18,3,3,0.53,14.2%,31.7%,"$72,213",14.6%,2.7%,49.1%,45.7%," 2,598 ","4,772"," 8,000 ","4,963","10,170",17.8,54.3%,2.2%,70.5%,3.3%,26.0%,22.2,"2,222","3,078","5,300","5,300",,31,817,606,1438,2,8,15,2886,9,"2,589",297,156,39,2015,466,409,6,3091,973,645,3454,468,417,21,5978,"55,831","1,294","57,125",2.27%,,"$689,937,082 ",336,,,,
District 32,Joann Ariola,37,5,36,18,4,0.7,16.0%,28.5%,"$83,394",11.3%,2.6%,54.8%,58.7%, -   ,807," 7,000 ","1,920","5,120",8.6,41.3%,1.6%,79.0%,4.2%,16.4%,26.0,98,"1,526","1,624","1,624",,32,0,13,10,50,60,1,134,44,116,18,0,1031,218,1,278,0,1528,0,1044,228,51,338,1,1662,"59,794",55,"59,849",0.09%,,0,16,,,,
District 33,Lincoln Restler,71,7,14,5,3,0.47,9.2%,24.9%,"$100,547",23.8%,3.4%,43.3%,24.3%," 2,188 ","5,122"," 18,000 ","5,356","12,125",12.6,75.7%,4.1%,25.7%,29.7%,44.4%,67.3,"3,978","1,019","4,997","4,997",,33,553,397,2201,331,1243,6,4731,4,"4,143",588,6,622,540,2,423,5,1598,559,1019,2741,333,1666,11,6329,"94,806","1,544","96,350",1.60%,,"$550,574,071 ","1,740",,,,
District 34,Jennifer Gutiérrez,31,10,49,8,3,0.65,9.7%,19.9%,"$69,568",21.7%,2.8%,46.1%,14.5%," 4,621 ","3,890"," 19,000 ","11,783","17,759",24.2,85.5%,3.0%,32.4%,37.6%,29.7%,67.2,"1,761","3,953","5,714","5,714",,34,197,35,853,50,900,5,2040,15,"1,925",115,528,1491,1872,34,2,26,3953,725,1526,2725,84,902,31,5993,"73,168",323,"73,491",0.44%,,"$869,152,706 ",876,,,,
District 35,Crystal Hudson,38,39,12,7,4,0.69,12.2%,20.4%,"$80,626",16.6%,3.2%,43.4%,23.7%," 6,045 ","1,769"," 22,000 ","15,464","22,563",27.3,76.3%,2.5%,29.2%,20.7%,49.9%,93.8,"2,192","2,818","5,010","5,010",,35,211,143,1310,181,1210,8,3063,8,"2,945",118,264,1044,1272,563,51,13,3207,475,1187,2582,744,1261,21,6270,"82,565",87,"82,652",0.11%,,"$1,528,898,860 ","1,618",,,,
District 36,Chi Ossé,17,57,19,3,3,0.6,11.2%,20.4%,"$57,281",23.8%,4.4%,48.2%,20.4%," 7,226 ","3,047"," 19,000 ","17,794","26,960",36.4,79.6%,2.1%,47.7%,22.4%,29.9%,94.7,"1,440","2,873","4,313","4,313",,36,587,124,476,133,511,8,1839,17,"1,577",262,314,962,1475,135,41,33,2960,901,1086,1951,268,552,41,4799,"73,902",244,"74,146",0.33%,,"$1,998,093,624 ","1,363",,,,
District 37,Sandy Nurse,9,29,53,6,2,0.62,9.1%,28.8%,"$54,094",25.7%,4.7%,58.6%,22.6%, 830 ,"2,694"," 9,000 ","15,197","20,436",36.4,77.4%,4.5%,65.4%,24.6%,9.9%,66.2,"1,995",437,"2,432","2,432",,37,997,637,1022,70,351,16,3093,7,"2,037",1056,112,139,171,9,2,6,439,1109,776,1193,79,353,22,3532,"55,892",191,"56,083",0.34%,,"$186,825,390 ",117,,,,
District 38,Alexa Avilés,19,5,39,35,2,0.69,11.5%,32.9%,"$53,786",26.1%,2.8%,55.4%,24.1%," 2,868 ",980," 13,000 ","9,088","12,802",22.4,75.9%,8.3%,54.5%,25.1%,20.2%,48.4,206,708,914,914,,38,84,18,80,8,49,2,241,40,220,21,602,109,93,156,10,8,978,686,127,173,164,59,10,1219,"57,033",222,"57,255",0.39%,,"$737,027,777 ",404,,,,
District 39,Shahana Hanif,65,5,14,12,5,0.54,11.1%,30.9%,"$127,181",11.7%,2.8%,40.5%,40.4%, -   ,"1,091"," 14,000 ","6,935","13,040",17.9,59.6%,3.0%,50.7%,23.7%,25.3%,63.0,242,197,439,439,,39,0,177,337,101,83,0,698,27,253,445,5,101,77,4,9,1,197,5,278,414,105,92,1,895,"73,072",0,"73,072",0.00%,,0,363,,,,
District 40,Rita Joseph,21,53,16,6,3,0.64,12.4%,23.6%,"$64,835",17.0%,3.4%,52.5%,16.0%, 12 ,"1,592"," 32,000 ","25,269","33,493",51.8,84.0%,5.4%,21.9%,12.3%,65.7%,109.4,"1,365",457,"1,822","1,822",,40,243,48,229,63,1113,4,1700,18,"1,567",133,21,120,175,139,8,4,467,264,168,404,202,1121,8,2167,"64,204",412,"64,616",0.64%,,"$10,127,367 ",778,,,,
District 41,Darlene Mealy,6,76,14,2,2,0.39,13.5%,25.2%,"$34,565",27.0%,2.9%,55.5%,18.8%," 10,204 ","3,205"," 24,000 ","20,389","29,208",46.0,81.2%,2.3%,45.5%,16.2%,38.2%,83.5,"1,744","3,229","4,973","4,973",,41,636,403,884,35,242,11,2211,14,"1,806",405,172,243,2034,750,48,20,3267,808,646,2918,785,290,31,5478,"63,282",253,"63,535",0.40%,,"$2,684,773,862 ","1,373",,,,
District 42,Charles Barron,3,72,21,2,2,0.44,14.6%,25.5%,"$37,166",28.6%,4.2%,55.9%,22.7%," 9,542 ","5,184"," 11,000 ","14,161","20,495",31.8,77.3%,3.3%,49.7%,11.1%,39.1%,30.9,"4,363","9,509","13,872","13,872",,42,1448,1401,2916,113,117,34,6029,2,"5,255",774,370,4474,4708,134,9,10,9705,1818,5875,7624,247,126,44,15734,"64,100",457,"64,557",0.71%,,"$1,616,765,091 ",819,,,,
District 43,Justin Brannan,50,2,17,29,2,0.64,17.2%,27.0%,"$77,307",13.9%,5.3%,51.0%,42.0%, -   ,587," 25,000 ","6,206","10,752",14.0,58.0%,3.4%,58.5%,12.9%,28.3%,51.3,117,274,391,391,,43,0,1,112,0,5,0,118,45,117,1,214,58,0,0,0,2,274,214,59,112,0,5,2,392,"76,658",35,"76,693",0.05%,,0,144,,,,
District 44,Kalman Yeger,72,1,9,14,3,0.45,13.8%,38.0%,"$52,249",27.5%,2.7%,66.5%,35.3%, -   ,"3,494"," 17,000 ","6,850","10,518",18.5,64.7%,7.0%,57.9%,7.9%,33.9%,72.6,113,254,367,367,,44,0,1,24,3,140,0,168,43,119,49,0,70,181,0,1,2,254,0,71,205,3,141,2,422,"56,742",84,"56,826",0.15%,,0,84,,,,
District 45,Farah Louis,20,65,8,5,2,0.53,15.7%,28.0%,"$70,869",12.5%,3.5%,53.2%,42.4%," 1,187 ","1,277"," 17,000 ","13,775","20,246",34.7,57.6%,3.7%,57.8%,7.1%,34.9%,58.9,392,26,418,418,,45,260,17,74,2,301,3,657,29,442,215,2,1,13,15,6,0,37,262,18,87,17,307,3,694,"58,255",149,"58,404",0.26%,,"$350,162,547 ",14,,,,
District 46,Mercedes Narcisse,26,57,9,7,2,0.6,16.4%,28.8%,"$87,405",9.0%,3.0%,49.8%,60.9%," 3,811 ",500," 5,000 ","2,593","3,989",6.2,39.1%,1.9%,86.8%,1.3%,11.7%,25.9,38,75,113,113,,46,0,2,37,2,7,0,48,50,41,7,2,4,44,34,10,1,95,2,6,81,36,17,1,143,"63,918",1,"63,919",0.00%,,"$1,076,278,681 ",209,,,,
District 47,Ari Kagan,45,8,17,28,3,0.69,18.6%,29.2%,"$49,546",20.6%,1.6%,53.4%,31.1%," 5,821 ","3,918"," 20,000 ","6,092","10,234",14.7,68.9%,3.8%,51.6%,7.4%,40.8%,60.5,"1,029","1,698","2,727","2,727",,47,338,205,879,77,19,5,1523,21,"1,506",17,258,120,1208,37,66,9,1698,596,325,2087,114,85,14,3221,"69,510",218,"69,728",0.31%,,"$1,402,251,290 ",584,,,,
District 48,Inna Vernikov,70,2,9,16,3,0.48,21.6%,24.8%,"$62,748",15.6%,2.6%,56.5%,39.3%, -   ,"3,419"," 23,000 ","7,003","8,972",11.2,60.7%,4.2%,41.0%,5.4%,53.5%,63.9,203,"1,246","1,449","1,449",,48,0,2,10,0,251,0,263,37,242,21,1192,6,2,1,193,2,1396,1192,8,12,1,444,2,1659,"79,872",142,"80,014",0.18%,,0,462,,,,
District 49,Kamillah Hanks,33,25,31,9,2,0.73,13.3%,30.7%,"$68,715",19.5%,8.5%,59.3%,51.5%," 3,511 ","2,681"," 7,000 ","4,602","7,260",12.0,48.5%,1.8%,74.1%,4.7%,20.7%,18.9,371,"1,729","2,100","2,100",,49,31,75,526,6,18,3,659,28,640,19,765,201,928,147,15,5,2061,796,276,1454,153,33,8,2720,"60,370",12,"60,382",0.02%,,"$1,031,298,218 ",218,,,,
District 50,David Carr,67,3,15,13,2,0.52,17.5%,30.5%,"$94,706",10.1%,4.9%,54.0%,73.0%, 927 ,502," 2,000 ",562,"1,458",2.4,27.0%,1.3%,89.6%,2.7%,7.6%,12.2,199,187,386,386,,50,160,2,35,3,0,1,201,42,200,1,0,1,177,1,8,1,188,160,3,212,4,8,2,389,"61,069",33,"61,102",0.05%,,"$275,071,652 ",0,,,,
District 51,Joseph Borelli,81,1,11,6,1,0.33,17.3%,32.5%,"$106,714",6.1%,3.2%,45.5%,82.1%, -   ,19," 2,000 ",254,672,1.1,17.9%,0.8%,95.1%,2.0%,2.8%,10.1,48,7,55,55,,51,1,4,44,2,0,0,51,48,49,2,0,1,0,0,6,0,7,1,5,44,2,6,0,58,"61,318",90,"61,408",0.15%,,$0 ,8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
